,TOV_team,F_tech,team_score,opponent_team_score,largest_lead,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away_NS,travel_dist,shooting_efficiency,rebound_score,assist_turnover_ratio,defensive_impact
alabama_crimson_tide,0.7,0.1,70.53333333333333,65.13333333333334,16.4,,,,-0.1,,0.26666666666666666,190.93333333333334,0.4480076630457049,37.333333333333336,0.7372577341208719,-5.0
bethune_cookman_wildcats,1.16,0.36,59.28,71.64,5.96,,,,,,-0.2,,0.41176511881372063,35.88,0.5090416070752992,-7.12
arkansas_razorbacks,0.41935483870967744,0.06451612903225806,73.74193548387096,65.70967741935483,16.161290322580644,,,,-0.03225806451612903,,0.1935483870967742,351.64516129032256,0.43546087065805594,37.903225806451616,1.1772429999896794,-4.129032258064516
belmont_bruins,0.4482758620689655,0.0,69.48275862068965,55.51724137931034,19.689655172413794,,,,0.0,,-0.10344827586206896,176.79310344827587,0.44131739075691384,35.06896551724138,1.3089481586465677,-1.3793103448275863
butler_bulldogs,0.9642857142857143,0.0,55.57142857142857,77.89285714285714,2.5714285714285716,,,,0.0,,0.25,251.14285714285714,0.391530343005548,33.357142857142854,0.569749971393951,-7.5
iu_indianapolis_jaguars,1.0714285714285714,0.0,70.42857142857143,55.67857142857143,19.642857142857142,,,,,,0.07142857142857142,172.92857142857142,0.4785424780694313,38.892857142857146,0.9403925981467783,-3.892857142857143
milwaukee_panthers,0.7586206896551724,0.0,58.758620689655174,59.58620689655172,9.931034482758621,,,804.0344827586207,0.0,,-0.10344827586206896,255.41379310344828,0.4348812877989776,35.41379310344828,0.8110132932183866,-5.724137931034483
northern_illinois_huskies,0.6896551724137931,0.2413793103448276,66.65517241379311,69.24137931034483,11.517241379310345,,,,0.034482758620689655,,-0.034482758620689655,267.41379310344826,0.4231610200292169,41.689655172413794,0.7859661475105727,-5.172413793103448
cleveland_state_vikings,0.9259259259259259,0.18518518518518517,70.18518518518519,59.96296296296296,17.14814814814815,,,,,,0.1111111111111111,,0.45106125600833635,40.888888888888886,0.7734754297000189,-1.1481481481481481
long_island_university_sharks,0.48148148148148145,0.037037037037037035,55.55555555555556,62.851851851851855,6.0,,,,,,-0.25925925925925924,187.33333333333334,0.3755561437164314,36.407407407407405,0.6059970153286885,-6.407407407407407
siu_edwardsville_cougars,0.3870967741935484,0.16129032258064516,69.29032258064517,74.61290322580645,9.35483870967742,,,580.0967741935484,0.0,,0.03225806451612903,168.19354838709677,0.446209849330311,35.645161290322584,0.7714965669552967,-5.67741935483871
purdue_fort_wayne_mastodons,0.7142857142857143,0.07142857142857142,60.142857142857146,65.75,9.785714285714286,,,,,,-0.07142857142857142,,0.4074815690018685,31.928571428571427,0.9184143631090328,-6.607142857142857
